Location,Country,Temperature,CO2Emissions ,SeaLevelRise ,Precipitation ,Humidity ,Windspeed 
South Jennifer,Brunei Darussalam,15.721363,487.40213,1.1914091,36.908672,99.0194,43.6365
Cameronview,Bahrain,21.926702,420.25964,-0.16670677,51.999268,43.75438,32.43973
Garciatown,United States of America,13.504184,354.39047,-0.4843363,10.686071,35.82337,31.527323
Adrianshire,Israel,13.568854,452.91336,-1.4202006,72.50681,15.723229,17.309515
New Dianechester,Georgia,6.9263043,474.36423,-1.0033824,83.583916,95.05445,43.96716
Russellfort,Cape Verde,18.29476,426.7682,-1.1090269,21.849697,6.2483807,41.795235
Johnnyburgh,Ukraine,17.051027,368.59317,0.114294656,93.85051,35.357796,11.01487
Charlesview,Colombia,3.282479,330.07077,-0.9671046,42.75019,70.17554,0.18753792
East Shawnchester,Guyana,16.693213,480.54865,-0.76895845,33.296326,11.665203,12.05243
Tylertown,Estonia,13.29048,405.19403,-0.38120028,44.307835,48.99467,33.774437
Lake Michael,Cambodia,6.8768806,416.9626,-0.74084806,19.732805,51.201973,31.864016
Bensonview,Maldives,12.824415,385.3877,1.1758858,31.194155,61.75036,3.4942417
Port Robert,Greece,12.59853,454.17233,-0.9015337,21.447037,28.516785,34.11857
Nathanstad,Kenya,18.055555,510.19455,1.5476321,4.9349356,46.47879,48.808647
South Wayne,Marshall Islands,11.159922,416.64606,-1.2537869,94.16679,24.723349,26.730503
West Roberthaven,Korea,5.269831,413.86224,-1.1984441,46.70281,29.621134,15.495186
West Susanmouth,Dominica,20.19613,387.02158,0.42812824,24.638351,69.15914,2.2671118
East Melissaville,China,13.851353,369.24792,-0.8586115,77.186134,46.974567,3.2547345
West Jamiechester,Trinidad and Tobago,20.05773,415.84692,-0.43033466,94.15516,56.63867,10.785693
Courtneyberg,Northern Mariana Islands,17.15498,457.60568,-0.38886893,11.771781,36.6944,14.888117
Lake Justin,Svalbard & Jan Mayen Islands,6.7815566,406.76263,0.5958488,50.412094,69.012436,40.38389
New Sandrafurt,Czech Republic,17.150953,421.14743,0.33904886,75.89569,49.17712,9.9668865
New Christianbury,Costa Rica,13.463885,391.13092,-0.7340101,0.66562897,92.34424,33.155094
Whiteview,Vietnam,11.522797,515.896,0.76361585,46.398106,20.701473,22.98653
South Sylvia,Denmark,11.347275,420.2653,0.60330147,49.720303,50.67389,17.35985
Adamberg,Svalbard & Jan Mayen Islands,14.637082,371.42136,-0.63004565,91.15552,66.066696,38.482086
Martinfort,Pitcairn Islands,8.49568,317.7209,0.9985525,5.4353185,52.14746,37.21721
New Jamestown,Mongolia,19.40125,381.9924,1.2209369,57.346256,53.843243,2.1436772
New Katrina,Uganda,15.550801,410.51434,0.7452956,93.70071,94.706406,40.972637
Grossstad,Iraq,17.262278,401.7761,-0.35101902,64.10599,72.37049,4.588577
Gordonport,Ecuador,29.090744,404.82846,-1.9597341,15.245285,20.355854,39.556755
Holmesport,Turks and Caicos Islands,19.637096,387.96555,-1.6888301,34.636932,35.816723,23.959436
South Larryland,Barbados,18.924078,361.00195,-0.22174856,8.574052,41.448093,37.07648
South Thomas,Peru,21.623596,425.28006,-0.18445975,63.20049,21.278135,40.984238
Lake Shawna,United Arab Emirates,21.023945,437.80484,1.1844599,66.421974,28.283314,47.902542
Josephport,Antarctica (the territory South of 60 deg S),16.590334,375.7293,1.6819631,75.98573,79.438286,5.4704604
East Brandonchester,Algeria,13.845497,358.16373,-1.7183262,54.00304,1.6699058,38.686634
Harperchester,Moldova,19.680956,416.97183,1.6426158,0.037671942,85.05291,32.251102
East Angela,Vietnam,11.657608,423.42862,-0.5836552,76.015564,90.071915,12.9809675
Richardchester,Lesotho,16.145514,445.443,-2.160844,52.935238,49.129093,29.846142
Millsstad,Fiji,16.758682,394.42783,0.23735881,41.68697,24.38379,49.635517
Erikborough,Liechtenstein,9.413675,361.1622,-0.646662,70.73044,25.978714,11.98699
Port Donald,Afghanistan,22.17414,476.6863,1.4901736,69.50823,20.65441,14.882295
Lake Robertview,Bolivia,16.909359,370.06253,1.1625549,97.34305,43.299915,38.223137
West Michaelbury,Singapore,17.170296,329.0512,-0.31581154,89.3755,3.0184832,8.420927
Port Carriefurt,United States Minor Outlying Islands,11.350182,430.99713,0.28442603,55.310493,36.638638,19.92384
Thomasberg,Netherlands,12.397555,411.10187,0.4219749,79.80127,92.00034,36.5271
West Anthony,French Polynesia,17.517593,345.25986,0.77162987,19.868038,16.249268,22.6007
West Karenmouth,Bulgaria,23.890131,378.81894,-0.27280754,92.87095,64.31923,2.5098221
Keithmouth,Central African Republic,19.816565,410.94156,0.79642195,30.59873,85.83093,16.63252
South Brittanyview,Finland,8.566692,341.92905,0.6978381,35.6519,56.814747,47.485718
North Victoriamouth,Bhutan,15.809948,438.92892,-1.3335725,96.96211,16.668356,33.826584
East Jessicaport,Jordan,9.701831,386.33383,0.7726939,41.629265,63.20864,10.591819
Charlesland,Bolivia,21.110826,386.5107,0.58503103,58.868576,58.4433,13.249021
East Erin,Montenegro,21.44498,442.1777,-0.8823339,37.724537,44.14344,43.39206
South Amy,Uganda,22.35916,360.6142,-0.9946008,13.146124,59.00297,11.334411
Hernandezview,Saint Lucia,15.030965,423.69785,-0.18441863,0.49289566,50.45624,1.0446507
Lorihaven,Marshall Islands,16.706837,358.38757,1.9893911,46.897194,52.666443,41.18498
Lesterfort,Holy See (Vatican City State),14.091571,399.92493,0.06773071,35.22402,13.861539,23.652422
Wellsville,French Guiana,15.908148,448.59427,-1.7665776,19.293123,91.49849,6.030287
Garciafurt,Trinidad and Tobago,20.754187,443.19852,1.6615629,37.710896,26.475512,22.142143
Gregoryville,Greece,20.079165,379.67212,0.44865623,69.13158,20.16206,11.198959
South Diana,Belize,15.57655,406.32553,-0.31643948,46.23274,23.831478,26.685846
North Adamland,Kuwait,22.764875,321.70166,-0.5220454,62.631813,2.0518718,10.115239
Port Brent,Philippines,13.429928,435.89722,-1.2125218,53.5865,78.28602,31.302809
New Tonyfort,New Zealand,21.999432,384.4909,0.24332218,83.26964,73.62553,38.95867
Lake Amberhaven,Sweden,5.873453,339.5952,1.0608673,8.0338745,44.511402,19.207947
West Lisaville,Botswana,16.377487,371.62717,1.235589,39.630478,88.696686,23.408325
Mendezton,Botswana,9.011849,436.91043,1.6529105,45.562283,51.46696,19.202154
Turnerville,Malawi,19.044596,476.39752,-0.5568244,30.790047,10.252239,38.16292
Hutchinsonburgh,Israel,16.416641,461.67792,0.030012164,85.45828,53.339382,0.963137
North Elizabeth,Cameroon,10.475712,320.83835,-0.257624,75.37576,93.624664,35.32956
Lawsonmouth,Israel,13.760284,299.36444,-0.33017826,4.14622,28.4289,0.08234777
New Sandra,Romania,12.709533,378.85287,0.5777869,19.854822,42.33319,8.28892
Jasonmouth,Costa Rica,14.460079,431.89166,0.9206953,33.706017,98.52279,25.066198
Scottland,Tajikistan,13.8983965,406.51248,-0.32909536,72.63735,72.91876,19.12159
North Kristopherland,Bermuda,16.998411,352.7115,0.94891834,6.8499255,77.54565,0.004525798
Rachelburgh,Latvia,17.355326,275.76968,0.74832267,92.541046,50.54322,19.078274
Donnaland,Guam,20.155104,448.67694,0.898731,59.986187,55.335907,30.144636
New Julie,Belize,15.457972,409.95575,-2.0416634,20.735306,93.41785,47.896053
Hartburgh,Jersey,8.999074,411.31064,1.0168861,44.106503,68.79005,48.0289
Port Kevin,Dominica,11.217459,466.93542,-0.1846335,84.030876,87.85411,23.524708
Hortonhaven,New Caledonia,13.100419,432.00378,-0.575177,22.117996,67.74689,9.946395
Leslieberg,Algeria,9.192959,457.10703,-0.9282805,6.5676684,32.760128,0.9689858
West Nancyburgh,San Marino,13.506692,379.45258,-1.6295199,21.249826,30.357882,40.91761
Lake James,Saint Kitts and Nevis,14.687502,368.44803,0.43660226,65.191124,10.9675865,40.69425
North Daniel,Trinidad and Tobago,14.341856,412.7173,1.3952754,69.883,18.177658,44.71018
Lisabury,Uzbekistan,10.194877,389.68295,1.2890462,60.154655,77.12876,48.659267
Lake Jacquelineton,Korea,19.804426,325.7854,1.1175221,88.06905,76.890114,42.38926
New Miguel,Zimbabwe,14.698621,402.8448,-0.64038247,49.73177,41.690365,8.315132
South Jamie,Burkina Faso,8.007612,377.1544,2.9927382,93.867,40.839153,29.744623
East Toni,Norway,13.840347,360.38394,0.14774325,38.33378,23.754297,31.709494
Port Jessica,Saint Helena,21.798649,437.9081,0.97716975,39.12883,23.04259,35.145027
West Pattyville,Guyana,16.491846,298.3829,0.509713,58.289574,96.9992,25.717459
North Brian,Slovakia (Slovak Republic),4.298199,423.39374,0.6775107,60.47993,45.308537,27.467825
Lake Stephaniebury,Cape Verde,20.482876,512.9882,-1.4600184,93.439,30.510622,18.189194
North Angelicaport,North Macedonia,12.653602,307.44308,2.0337527,97.402405,83.54038,10.046401
Randallfurt,Seychelles,8.261533,396.22018,-0.9703121,99.074425,95.43543,27.319166
Sonyachester,Norway,12.043162,271.68973,0.92434204,10.064473,13.044159,28.566805
Port Jesus,India,14.563792,441.4585,0.012392242,72.78389,64.89786,44.925655
North Codyhaven,Uganda,16.01636,395.80917,-0.43326738,92.47916,67.38197,27.519552
Francishaven,Turkmenistan,17.348621,354.7217,-1.0407494,72.63656,6.931199,15.967095
Lake Eric,Indonesia,17.489819,412.80765,-1.8197304,58.963898,9.8400345,45.656174
Lake Jon,Russian Federation,21.960186,394.73254,-1.9834524,67.822365,61.147354,44.42808
Lake Donaldland,Slovenia,10.945143,407.40884,0.09442174,57.458916,60.093723,45.515095
Johnsonton,Argentina,16.80056,343.98557,-1.3698082,78.150475,49.8158,34.97887
New Kathleen,Sao Tome and Principe,28.944172,421.831,-0.2367323,84.904945,65.88921,16.269138
Lake Kimberly,Philippines,21.075592,392.7446,-1.2633805,59.85369,53.721916,49.87271
Joelfurt,Singapore,21.461634,341.5823,-1.3725039,28.723082,79.25514,49.033947
Austinton,Niue,14.530518,347.84183,-0.5131343,97.29074,34.93731,34.15128
Lake Susanfort,Bulgaria,12.58643,315.9161,-0.29662395,51.04674,59.323532,25.097584
Lake Travisbury,Sweden,3.9581869,389.49454,0.79925406,58.59584,91.255226,34.700325
North Jennifer,Spain,17.600636,442.8167,0.32231003,62.378666,21.312555,29.604717
South Eric,Cook Islands,13.724989,345.08884,1.3910255,45.378155,82.382576,40.020874
South Charles,Norfolk Island,10.015125,474.21515,2.3810425,74.268166,98.36604,18.232456
Lake Thomasfort,Moldova,10.477292,396.6552,-2.4417524,97.549866,91.589966,27.240885
Port Raymond,Reunion,17.044174,431.58426,1.2707075,50.900524,74.66856,35.71431
West Victoriafurt,Niger,9.475999,337.27554,-1.0045927,89.4637,96.13602,26.916815
Kaylaberg,Afghanistan,10.321694,428.21692,0.26088172,23.683697,93.162895,21.18894
New Dianeberg,Qatar,15.529723,358.73718,0.8006259,86.130875,46.163815,22.28782
Villarrealstad,Burkina Faso,17.494865,406.1022,-1.021771,74.57908,92.177864,4.6646338
Amandafort,Serbia,12.62834,311.01273,0.09951208,83.14316,63.194653,7.322538
South Sarahfort,Turkmenistan,21.481504,392.9942,-0.75693536,75.443054,11.282684,0.87994105
New Michele,Sri Lanka,10.814733,340.61768,-0.5582627,95.042244,96.40604,9.786306
East Jasonside,Panama,19.433716,444.6603,-0.29079315,1.469827,94.62794,42.498867
Kellertown,United Kingdom,26.97617,375.3354,-1.4143971,10.4668045,66.554726,39.621925
East Nicholas,Bhutan,15.5431795,415.05832,0.08151141,67.04169,2.0813704,14.933119
Port Brookeburgh,Honduras,14.384414,351.49362,-1.1544418,11.350884,31.364283,3.7847192
South Lisaside,Djibouti,8.84105,387.85233,-1.407157,6.4835076,89.53462,10.488713
Sarahberg,Timor-Leste,17.063566,327.95688,-0.3976791,24.599169,73.61576,42.279694
West Morgan,Guam,16.861948,445.40988,-1.0522927,79.594604,50.321316,49.202297
Williamsmouth,Nauru,13.645117,384.33713,-0.604611,53.932865,43.92385,11.459886
Lake Stephanie,Brunei Darussalam,8.857165,449.0456,-1.5013329,23.456642,4.284786,34.74873
New Andrew,United States Minor Outlying Islands,11.321589,347.17712,-0.23722623,25.95166,39.308384,41.551247
Port Rachelborough,Turkmenistan,21.132835,452.90234,-0.008328021,33.14485,75.566055,30.357578
Port Scott,Iraq,22.012796,352.46182,2.4215624,59.173702,63.821316,30.318949
Thompsonshire,Taiwan,20.440811,418.4674,0.3370073,46.667274,46.117104,43.962215
Stevenfort,Finland,4.012818,437.01926,-0.35745627,35.900307,57.952965,26.365759
South Eileen,Moldova,23.377695,368.74957,-1.3837028,1.9891783,61.540028,28.286171
Lake Eric,Swaziland,20.000956,423.85175,-0.43631688,9.8418255,90.74247,17.226723
North Nicolechester,Uzbekistan,21.826866,387.52072,-1.04558,69.22612,48.544315,5.309011
South Ronaldborough,Italy,10.783955,372.4632,1.0559477,47.7382,92.064285,37.96519
Jennaview,Lebanon,22.010986,484.8427,0.25295413,17.560106,73.82306,42.29673
Port Andrewhaven,Botswana,13.650258,288.4519,1.1555208,5.135019,44.21722,3.8440678
Bryanview,Swaziland,13.918345,433.04843,-0.18095022,22.958263,79.61532,27.190926
East Larry,Turks and Caicos Islands,12.932762,375.89417,-1.4860437,40.784916,92.60432,25.427103
Nancychester,Hungary,17.295599,389.0392,-0.5561268,98.53187,95.375725,24.865273
Port Michael,Cocos (Keeling) Islands,16.195938,390.26608,-0.94105613,72.320404,20.758799,13.958247
Powellshire,Slovenia,10.429459,405.14377,-0.28611755,78.973885,36.920208,6.7873087
New Scottchester,Korea,15.686522,437.66803,-0.2817361,11.405608,40.070034,12.763718
Andreamouth,Solomon Islands,2.5007086,392.0436,-0.03188896,75.90667,21.441273,24.684427
East Meghan,Niue,14.36938,512.95074,2.0509562,42.44048,62.275227,11.166994
Lake Jameschester,Myanmar,19.182001,464.6165,0.6929115,35.657482,91.51097,22.048126
Port Patrick,Guinea,19.429356,404.4672,1.9709994,19.26757,34.111687,37.86933
New Monicamouth,Ecuador,14.889632,533.03253,0.8633315,52.95756,43.777992,37.98865
Costastad,Bangladesh,19.445122,339.3194,-0.021391107,56.07906,14.207802,20.927454
Lake Colin,Saint Pierre and Miquelon,17.22068,429.2818,-0.1679844,77.310585,8.052012,19.691902
New Jessicashire,Denmark,11.529253,335.18506,-0.5448404,57.94765,14.13517,4.6302934
Loriport,Congo,12.773925,417.00046,-1.3719356,57.610695,72.10105,48.918808
Johnsview,Azerbaijan,14.7719345,348.81833,0.2067914,36.707775,81.52129,48.105545
Jessicatown,South Africa,12.40618,365.76486,1.5863079,46.868023,52.948257,47.329502
East Natalie,Lithuania,19.314775,461.46753,0.79442835,68.97327,26.725595,2.604301
Justintown,Kuwait,16.744572,422.9591,0.81480205,46.52878,4.2003675,35.81607
Cuevasfort,Algeria,11.496342,472.53998,-0.9888028,16.37737,18.704456,2.5903387
North Angelabury,Guinea,21.190372,394.1378,-1.2547836,83.54141,8.528261,1.0238678
Riverahaven,Togo,24.682695,324.70587,-0.14764316,47.86823,3.072092,34.344246
Kristinafort,Equatorial Guinea,22.516584,405.6672,0.18130629,0.7187429,73.73641,42.70192
South Alanport,Greece,20.17291,359.09335,0.37257257,23.681372,91.57195,15.684106
Jimenezport,Spain,18.209764,465.05045,-0.8302283,93.838425,58.545036,3.3806298
Martinezfurt,Kuwait,22.312544,415.1432,0.5142262,51.64711,17.819925,7.856068
East Keith,Northern Mariana Islands,22.7847,292.126,0.0821933,48.61571,95.11354,15.314791
Lake Dylan,Cape Verde,16.410036,433.30948,-0.63864243,18.405313,88.834236,35.693733
South Helenberg,Saint Kitts and Nevis,13.303942,469.98694,0.34949872,81.09472,71.350334,17.786873
Heiditown,Honduras,2.052744,411.62354,0.5725321,34.9705,75.09488,7.6506057
Justinview,Kenya,11.893053,555.6477,1.1947867,97.08707,30.526737,25.959578
West Matthew,Bolivia,17.93224,377.35117,-0.27884525,25.879814,73.08963,28.07771
Johnshire,Philippines,14.847993,537.11017,-0.22141431,80.749954,80.28778,20.125057
East Crystalmouth,United Kingdom,16.753023,384.86072,-1.0437362,25.874203,82.89117,11.965099
Tuckershire,Benin,10.801725,436.5427,2.088868,32.923923,97.67227,11.009214
Jerryview,Puerto Rico,14.414234,385.4336,1.0081129,7.2603335,14.863543,39.21521
Heatherville,Cambodia,14.603366,432.7435,0.9566701,19.379694,69.59088,33.69237
East Robert,Senegal,5.572509,349.53702,-0.54779214,22.850832,23.52141,43.953804
Bobbyborough,Mozambique,17.469275,417.39398,0.44689527,69.09349,43.05174,15.606294
Reneeland,Madagascar,19.236462,417.0989,-0.3155167,96.43519,36.0646,11.96297
Abigailfurt,Jersey,17.415138,418.75235,-1.213054,47.421318,83.74515,49.519783
Lake Michael,Congo,3.497068,386.6022,-0.6965304,38.487514,56.338173,47.253384
Jonesshire,Micronesia,17.028551,387.5026,0.13325854,13.94978,57.51088,5.654454
Shelleychester,French Southern Territories,18.79827,366.2204,0.26488093,67.58208,49.152397,49.944088
New Nicholasfurt,Nicaragua,16.215708,394.64944,0.90629363,83.656166,53.441227,43.814465
Sanchezton,Cape Verde,14.761621,354.0265,1.7683873,60.17095,43.930374,2.0668087
Robertmouth,Liechtenstein,10.040403,398.0495,1.0513847,62.965923,14.225016,9.843014
Karinachester,Botswana,19.486267,380.53436,0.3442642,37.19026,82.08289,47.059383
Kennethburgh,Cape Verde,19.639902,418.2517,1.0783432,99.89231,10.023238,19.466726
New Desiree,Comoros,25.716057,376.00137,0.004272501,36.162968,3.9051967,43.55969
Jonesview,Iraq,13.9023485,417.2211,0.45805883,77.0155,1.0899978,2.0504155
East Tiffany,Guatemala,16.316107,492.94254,0.4482523,72.33235,33.702686,49.35109
Brownborough,Qatar,6.228582,312.42426,0.6942496,90.75189,54.78728,1.944175
Steventown,Andorra,6.451078,440.55908,0.6982611,27.06665,94.0014,26.33968
West Stanleyfurt,Cayman Islands,15.195181,388.83167,0.7716568,26.715324,9.99996,37.107887
North Teresachester,Pitcairn Islands,18.907389,317.32642,0.37038162,49.16585,36.60595,32.17929
New Robertborough,Ghana,18.754637,380.82593,-0.68233365,44.254944,36.01304,9.701974
East Jessica,Martinique,8.127744,435.81613,-0.6426388,36.922287,95.86931,49.330143
West Robertshire,Liechtenstein,14.706648,331.3258,2.386767,65.956215,86.41204,10.514899
Nathanville,Mayotte,8.768176,424.1381,0.9160775,83.69947,12.082871,30.103838
North Kelseyberg,Burkina Faso,20.252693,423.913,-1.3225647,48.89182,61.049564,8.095164
South Robertmouth,Uruguay,20.08463,327.0009,-0.5576179,45.796806,87.54317,46.399445
New Sarastad,Austria,16.385395,352.47827,0.25123328,23.848673,37.920994,27.459625
West Brandon,Samoa,17.63196,454.66635,0.73330235,32.565308,29.063164,41.874744
Johnsonbury,Niger,13.108343,450.05795,-0.7676444,37.372135,49.19824,3.0079036
Port Kevinberg,Comoros,16.502703,420.3357,0.64750755,37.968613,88.081,49.152683
West Richard,Uzbekistan,18.013872,415.42023,-0.18522583,32.40622,66.2782,35.679688
West Rachel,Colombia,12.013227,369.2334,-1.4805539,46.78686,64.02405,20.691128
East Megan,Libyan Arab Jamahiriya,22.390581,355.47214,-1.0423901,22.626686,48.642624,24.863737
East Marystad,Kuwait,17.408073,428.3723,-0.09730309,72.53611,16.956795,5.9787993
Jacobhaven,South Georgia and the South Sandwich Islands,13.0997925,323.8664,0.57250285,33.3232,6.6971655,16.37219
New Meganport,Korea,13.985537,412.91318,-0.18633328,22.164633,52.73506,1.5714535
Brandychester,Uruguay,14.464899,374.37082,1.1293871,91.47706,10.437659,31.602848
Schultzport,Bhutan,15.123535,471.40964,-0.71133786,5.1325674,20.139805,5.926573
West Michelle,Peru,8.9766,395.43747,-0.38899443,90.68201,32.05123,23.088501
Walkerchester,South Georgia and the South Sandwich Islands,3.8231623,431.4535,0.23910709,18.442724,84.4708,21.41834
Diazmouth,Serbia,16.01231,419.12897,-0.7714116,69.10626,21.609985,34.800453
Sophiamouth,Swaziland,13.170595,342.00742,0.49143067,59.433983,97.93519,42.8107
Gardnerland,Malta,12.196721,402.23456,-0.21519339,97.35595,42.586693,3.2195315
Valdezborough,Tajikistan,21.515167,437.92035,-0.17325121,93.79548,48.945236,8.4254875
Lake Rachel,Anguilla,26.867468,482.99124,2.1719923,21.349617,57.075203,34.94342
West Robert,New Zealand,21.65852,361.9508,0.6987208,1.4990277,66.47147,45.837116
West Mark,Iran,7.6827016,452.65756,0.082083546,42.814205,45.62301,24.995241
Vaughnbury,Bosnia and Herzegovina,14.227561,356.454,1.8811657,11.163333,32.03729,44.475166
East Kerriside,Tokelau,14.343022,342.7548,0.41068542,74.80689,85.711525,9.44112
South Kelly,Zimbabwe,12.504804,424.50375,1.0733105,48.002785,28.024666,46.956444
North Kylefort,American Samoa,16.079668,411.88406,0.2728682,28.781029,87.17598,34.523067
Taylorhaven,Saint Vincent and the Grenadines,20.341389,470.39636,1.1299415,26.285444,54.447308,27.062914
Adrianport,Slovenia,15.932161,344.91336,-2.097867,87.44081,86.363266,42.492134
Jayville,Cook Islands,18.659403,391.43216,-1.3561482,97.746414,18.373014,16.832361
Harperport,Solomon Islands,0.14178745,431.43192,0.033187285,29.198586,36.652267,16.825047
East Hannahland,Tuvalu,22.4043,333.3534,-0.7226029,19.646854,99.075096,34.542892
Andersonside,Lebanon,10.578127,417.46082,-0.049016494,66.13174,25.966541,12.264776
Silvaland,Saint Barthelemy,19.153013,460.29498,1.4751916,78.16791,77.07,41.19873
New Nicholaschester,Solomon Islands,11.208613,478.5716,0.9438503,71.39666,57.272408,44.986137
New Morgan,Cayman Islands,19.860289,418.7453,0.001681468,92.390686,31.04339,25.704023
Lake Willieton,Eritrea,20.526405,481.14667,-0.6819924,85.550674,96.21189,32.170185
North Codyfort,Philippines,5.11107,351.88748,1.1596076,58.244278,93.30631,49.459625
Lake Aaronside,Moldova,19.81576,508.0302,-0.14109424,92.5675,1.6590247,6.695514
Jayville,Togo,17.169481,469.36917,1.5335534,44.081516,67.3374,43.861115
Danielleside,Kuwait,16.500353,430.87662,0.68950075,24.121996,72.06124,44.990974
Townsendstad,United Arab Emirates,16.610687,463.8731,-0.21783277,40.76963,42.342697,24.914557
Montgomeryhaven,Albania,11.968124,400.36057,0.050444465,44.360676,31.5492,24.138884
South Amanda,Mali,13.802458,372.6124,-0.65641075,40.90684,5.3511057,35.846066
West Jordan,Montserrat,19.35523,421.89627,1.1500175,32.69058,68.921646,2.336438
Baldwinstad,Egypt,12.723175,422.8831,-0.122465976,21.193981,56.719406,17.569403
North Ashleyburgh,Namibia,5.522772,434.93668,-0.071061485,88.82604,58.774223,36.238197
Holtchester,France,10.010639,398.90927,-0.7246163,24.120087,62.078632,38.443783
South Aliciaton,Trinidad and Tobago,13.921094,446.17554,0.30746365,56.834972,23.384972,23.951035
